No,Indonesia,Aceh,,Kamus
5487,Kalian sudah mengerjakan tugas?,awakkah ka pubuet tugah?,,
5488,Kalian sudah mengganti air aquarium?,awakkah ka gantoe ie aquarium?,,
5489,Kalian sudah mengganti air dispenser?,awakkah ka gantoe ie dispenser?,,
5490,Kalian sudah mengganti baterai jam dinding?,awakkah ka gantoe batre jeuem binteh?,,
5491,Kalian sudah mengganti baterai remote?,awakkah ka gantoe batre remot?,,
5492,Kalian sudah mengganti lampu teras?,awakkah ka gantoe lampu teras?,,
5493,Kalian sudah mengganti masker secara rutin?,awakkah ka gantoe masker secara rutin?,,
5494,Kalian sudah mengganti sikat gigi secara berkala?,awakkah ka gantoe sikat igoe secara meukala?,,
5495,Kalian sudah mengganti sprei kamar?,awakkah ka gantoe sprei kama?,,
5496,Kalian sudah mengirim invoice ke klien?,awakkah ka kirem invoice u klien?,,
5497,Kalian sudah mengirimkan tugas akhir?,awakkah ka kirem tugah akhe?,,
5498,Kalian sudah mengisi daftar hadir rapat?,awakkah ka pasoe daftar hadir rapat?,,
5499,Kalian sudah mengisi daftar hadir?,awakkah ka pasoe daftar hadir?,,
5500,Kalian sudah mengisi daftar kehadiran?,awakkah ka pasoe daftar kehadiran?,,
5501,Kalian sudah mengisi formulir pendaftaran lomba?,awakkah ka pasoe formulir pendaftaran lomba?,,
5502,Kalian sudah mengisi formulir pendaftaran ulang?,awakkah ka pasoe formulir pendaftaran ulang?,,
5503,Kalian sudah mengisi formulir pendaftaran?,awakkah ka pasoe formulir pendaftaran?,,
5504,Kalian sudah mengisi ulang pulsa listrik?,awakkah ka pasoe ulang pulsa listrek?,,
5505,Kalian sudah mengumpulkan koleksi perangko?,awakkah ka peusapat koleksi perangko?,,
5506,Kalian sudah mengumpulkan tugas kelompok tepat waktu?,awakkah ka peusapat tugah kelompok teupat watee?,,
5507,Kalian sudah mengunci pintu pagar tadi?,awakkah ka gunci pinto pageue bunoe?,,
5508,Kalian sudah mengurangi konsumsi gula?,awakkah ka peukureueng konsumsi saka?,,
5509,Kalian sudah menimbang berat badan minggu ini?,awakkah ka timang brat badan minggu nyoe?,,
5510,Kalian sudah menulis daftar belanja?,awakkah ka tuleh daftar belanja?,,
5511,Kalian sudah menyelesaikan semua tugas rumah?,awakkah ka peulheueh mandum tugah rumoh?,,
5512,Kalian sudah menyelesaikan tugas hari ini?,awakkah ka peulheueh tugah uroe nyoe?,,
5513,Kalian sudah menyelesaikan tugas kelompok ini?,awakkah ka peulheueh tugah kelompok nyoe?,,
5514,Kalian sudah menyiapkan acara kumpul?,awakkah ka peusiap acara sapat?,,
5515,Kalian sudah menyiapkan bahan kue?,awakkah ka peusiap bahan kuweh?,,
5516,Kalian sudah menyiapkan bahan masakan?,awakkah ka peusiap bahan masakan?,,
5517,Kalian sudah menyiapkan bahan prakarya kelompok?,awakkah ka peusiap bahan prakarya kelompok?,,
5518,Kalian sudah menyiapkan bahan presentasi kelompok?,awakkah ka peusiap bahan presentasi kelompok?,,
5519,Kalian sudah menyiapkan bahan presentasi?,awakkah ka peusiap bahan presentasi?,,
5520,Kalian sudah menyiapkan bekal camilan?,awakkah ka peusiap bekal cemilan?,,
5521,Kalian sudah menyiapkan bekal makan siang?,awakkah ka peusiap bekal pajoh cot_uroe?,,
5522,Kalian sudah menyiapkan bekal perjalanan?,awakkah ka peusiap bekal perjalanan?,,
5523,Kalian sudah menyiapkan bekal?,awakkah ka peusiap bekal?,,
5524,Kalian sudah menyiapkan catatan materi pelajaran?,awakkah ka peusiap catatan materi pelajaran?,,
5525,Kalian sudah menyiapkan catatan penting?,awakkah ka peusiap catatan peunteng?,,
5526,Kalian sudah menyiapkan daftar belanja kelompok?,awakkah ka peusiap daftar belanja kelompok?,,
5527,Kalian sudah menyiapkan daftar tugas harian?,awakkah ka peusiap daftar tugah harian?,,
5528,Kalian sudah menyiapkan daftar tugas?,awakkah ka peusiap daftar tugah?,,
5529,Kalian sudah menyiapkan dokumen kerja?,awakkah ka peusiap dokumen keureuja?,,
5530,Kalian sudah menyiapkan hadiah ulang tahun?,awakkah ka peusiap hadiyah ulang thon?,,
5531,Kalian sudah menyiapkan hadiah untuk ibu?,awakkah ka peusiap hadiyah keu mak?,,
5532,Kalian sudah menyiapkan hidangan untuk keluarga?,awakkah ka peusiap hidangan keu keluarga?,,
5533,Kalian sudah menyiapkan jadwal piket kebersihan?,awakkah ka peusiap jadwal piket kebersihan?,,
5534,Kalian sudah menyiapkan kostum astronot palsu?,awakkah ka peusiap kostum astronot peuleusu?,,
5535,Kalian sudah menyiapkan kostum cosplay?,awakkah ka peusiap kostum cosplay?,,
5536,Kalian sudah menyiapkan laporan praktikum?,awakkah ka peusiap laporan praktikum?,,
5537,Kalian sudah menyiapkan lauk pauk?,awakkah ka peusiap teumon bu?,,
5538,Kalian sudah menyiapkan makanan untuk keluarga?,awakkah ka peusiap makanan keu kelurga?,,
5539,Kalian sudah menyiapkan materi presentasi kelompok?,awakkah ka peusiap materi presentasi kelompok?,,
5540,Kalian sudah menyiapkan materi presentasi?,awakkah ka peusiap materi?,,
5541,Kalian sudah menyiapkan menu makan siang?,awakkah ka peusiap menu pajoh cot_uroe?,,
5542,Kalian sudah menyiapkan minuman dingin?,awakkah ka peusiap minuman leupie?,,
5543,Kalian sudah menyiapkan naskah drama pendek?,awakkah ka peusiap naskah drama et?,,
5544,Kalian sudah menyiapkan obat P3K di rumah?,awakkah ka peusiap ubat p3k bak rumoh?,,
5545,Kalian sudah menyiapkan pakaian besok?,awakkah ka peusiap pakayan singoh?,,
5546,Kalian sudah menyiapkan peralatan camping?,awakkah ka peusiap peralatan camping?,,
5547,Kalian sudah menyiapkan peralatan kegiatan?,awakkah ka peusiap peralatan kegiatan?,,
5548,Kalian sudah menyiapkan peralatan outdoor?,awakkah ka peusiap peralatan outdoor?,,
5549,Kalian sudah menyiapkan peralatan piknik?,awakkah ka peusiap peralatan piknik?,,
5550,Kalian sudah menyiapkan peralatan?,awakkah ka peusiap peralatan?,,
5551,Kalian sudah menyiapkan perlengkapan lomba kebersihan?,awakkah ka peusiap perlengkapan lumba kebersihan?,,
5552,Kalian sudah menyiapkan perlengkapan olahraga?,awakkah ka peusiap perlengkapan olahraga?,,
5553,Kalian sudah menyiapkan perlengkapan untuk lomba?,awakkah ka peusiap perlengkapan keu lomba?,,
5554,Kalian sudah menyiapkan ruang tidur tamu?,awakkah ka peusiap ruang eh jamee?,,
5555,Kalian sudah menyiapkan semua bahan prakarya?,awakkah ka peusiap mandum bahan prakarya?,,
5556,Kalian sudah menyiapkan semua dokumen perjalanan?,awakkah ka peusiap mandum dokumen perjalanan?,,
5557,Kalian sudah menyiapkan semua perlengkapan?,awakkah ka peusiap mandum perlengkapan?,,
5558,Kalian sudah menyiapkan tiket masuk?,awakkah ka peusiap tiket tamong?,,
5559,Kalian sudah menyiapkan tiket semua destinasi?,awakkah ka peusiap tiket mandum destinasi?,,
5560,Kalian sudah menyiapkan tugas kelompok hari ini?,awakkah ka peusiap tugah kelompok uroe nyoe?,,
5561,Kalian sudah menyimpan dokumen penting di lemari?,awakkah ka peusiap dokumen peunteng bak leumari?,,
5562,Kalian sudah menyimpan dokumen penting?,awakkah ka peusiap dokumen peunteng?,,
5563,Kalian sudah menyimpan kunci cadangan?,awakkah ka kubah gunci cadangan?,,
5564,Kalian sudah menyusun daftar belanja kelompok?,awakkah ka suson daftar belanja kelompok?,,
5565,Kalian sudah menyusun daftar perlengkapan?,awakkah ka suson daftar perlengkapan?,,
5566,Kalian sudah menyusun daftar tugas kelompok?,awakkah ka suson daftar tugah kelompok?,,
5567,Kalian sudah menyusun jadwal kerja kelompok?,awakkah ka suson jadwal keureuja kelompok?,,
5568,Kalian sudah menyusun jadwal kerja?,awakkah ka suson jadwal keureuja?,,
5569,Kalian sudah menyusun jadwal piket kebersihan kelas?,awakkah ka suson jadwal piket kebersihan glah?,,
5570,Kalian sudah menyusun jadwal piket kebersihan?,awakkah ka suson jadwal piket kebersihan?,,
5571,Kalian sudah menyusun jadwal piket?,awakkah ka suson jadwal piket?,,
5572,Kalian sudah menyusun laporan akhir?,awakkah ka suson laporan akhe?,,
5573,Kalian sudah menyusun laporan kegiatan?,awakkah ka suson laporan kegiatan?,,
5574,Kalian sudah menyusun rencana kerja kelompok?,awakkah ka suson reuncana keureuja kelompok?,,
5575,Kalian sudah merapikan alat setelah dipakai?,awakkah ka peurapi alat lheueh dipakek?,,
5576,Kalian sudah merapikan catatan kuliah?,awakkah ka peurapi catatan kuliah?,,
5577,Kalian sudah merapikan lemari pakaian?,awakkah ka peurapi leumari pakayan?,,
5578,Kalian sudah merapikan mainan setelah bermain?,awakkah ka peurapi mainan lheueh meuen?,,
5579,Kalian sudah merapikan meja belajar?,awakkah ka peurapi meja meurunoe?,,
5580,Kalian sudah merapikan meja kerja?,awakkah ka peurapi meja keureuja?,,
5581,Kalian sudah merapikan meja makan?,awakkah ka peurapi meja pajoh?,,
5582,Kalian sudah merapikan rak buku keluarga?,awakkah ka peurapi rak buku keluarga?,,
5583,Kalian sudah merapikan rak buku?,awakkah ka peurapi rak buku?,,
5584,Kalian sudah merapikan ruang kelas?,awakkah ka peurapi ruang glah?,,
5585,Kalian sudah merapikan ruang_tamu?,awakkah ka peurapi seuramoe?,,
5586,Kalian sudah merawat bibir dengan pelembap?,awakkah ka rawat bibi ngon pelembab?,,
5587,Kalian sudah merencanakan budget perjalanan?,awakkah ka peureuncana budget perjalanan?,,
5588,Kalian sudah merencanakan reuni?,awakkah ka peureuncana reuni?,,
5589,Kalian sudah merencanakan rute perjalanan?,awakkah ka peureuncana rute perjalanan?,,
5590,Kalian sudah minum air putih delapan gelas?,awakkah ka jep ie puteh lapan glah?,,
5591,Kalian sudah minum madu hangat?,awakkah ka jep madu hangat?,,
5592,Kalian sudah minum obat semua?,awakkah ka jep ubat mandum?,,
5593,Kalian sudah minum vitamin?,awakkah ka jep vitamin?,,
5594,Kalian sudah packing semua barang?,awakkah ka packing mandum barang?,,
5595,Kalian sudah periksa ke dokter gigi?,awakkah ka pareksa u dokto igoe?,,
5596,Kalian sudah periksa tekanan darah?,awakkah ka pareksa tekanan darah?,,
5597,Kalian sudah pesan hotel di Bandung?,awakkah ka peusan hotel di bandung?,,
5598,Kalian sudah pesan tiket pulang?,awakkah ka peusan tiket woe?,,
5599,Kalian sudah pulang kerja?,awakkah ka woe keureuja?,,
5600,Kalian sudah rindu keluarga di kampung?,awakkah ka rindu keluarga bak gampong?,,
5601,Kalian sudah rindu rumah?,awakkah ka rindu rumoh?,,
5602,Kalian sudah saling mengenal keluarga?,awakkah ka saleng turi keluarga?,,
5603,Kalian sudah selesai belajar?,awakkah ka lheueh meurunoe?,,
5604,Kalian sudah selesai bersih-bersih?,awakkah ka lheueh gleh-gleh?,,
5605,Kalian sudah selesai kerjaan hari ini?,awakkah ka lheueh kerjaan uroe nyoe?,,
5606,Kalian sudah selesai latihan?,awakkah ka lheueh latihan?,,
5607,Kalian sudah selesai mandi?,awakkah ka lheueh manoe?,,
5608,Kalian sudah selesai semua tugas?,awakkah ka lheueh mandum tugah?,,
5609,Kalian sudah semai bibit hari ini?,awakkah ka thong bibet uroe nyoe?,,
5610,Kalian sudah siap berangkat ke sekolah?,awakkah ka siap berangkat u sikula?,,
5611,Kalian sudah siap berangkat?,awakkah ka siap berangkat?,,
5612,Kalian sudah siap kerja hari ini?,awakkah ka siap keureuja uroe nyoe?,,
5613,Kalian sudah siap makan malam?,awakkah ka siap pajoh malam?,,
5614,Kalian sudah siap semua?,awakkah ka siap mandum?,,
5615,Kalian sudah siap untuk berangkat?,awakkah ka siap keu berangkat?,,
5616,Kalian sudah siapkan budget liburan?,awakkah ka peusiap budget liburan?,,
5617,Kalian sudah siapkan itinerary lengkap?,awakkah ka peusiap itinerary lengkap?,,
5618,Kalian sudah siapkan kamera cadangan?,awakkah ka peusiap kamera cadangan?,,
5619,Kalian sudah tahu jadwal acara besok?,awakkah ka tupeu jadwal acara singoh?,,
5620,Kalian sudah tahu jadwal acara hari ini?,awakkah ka tupeu jadwal acara uroe nyoe?,,
5621,Kalian sudah tahu jadwal piket mingguan?,awakkah ka tupeu jadwal piket mingguan?,,
5622,Kalian sudah tahu tema acara kali ini?,awakkah ka tupeu tema acara kali nyoe?,,
5623,Kalian sudah vaksin influenza tahun ini?,awakkah ka vaksin influenza thon nyoe?,,
5624,Kalian sudah vaksin lengkap?,awakkah ka vaksin lengkap?,,
5625,Kalian sudah vaksinasi lengkap?,awakkah ka vaksinasi lengkap?,,
5626,Kalian suka bantu saat panen telur?,awakkah galak bantu wate panen boh?,,
5627,Kalian suka bekerja di kebun keluarga?,awakkah galak meukeureuja bak lampoh keluarga?,,
5628,Kalian suka bekerja di perkebunan karet?,awakkah galak meukeureuja bak perkebunan karet?,,
5629,Kalian suka belajar bareng di rumahku?,awakkah galak meurunoe sajan bak rumohlon?,,
5630,Kalian suka berbagi playlist romantis?,awakkah galak meubagi playlist romantis?,,
5631,Kalian suka berdiskusi tentang film?,awakkah galak meudiskusi teuntang film?,,
5632,Kalian suka berenang di kolam renang umum?,awakkah galak meulangue bak kolam renang umum?,,
5633,Kalian suka berenang di kolam umum?,awakkah galak meulangue bak kolam umum?,,
5634,Kalian suka berenang untuk kebugaran?,awakkah galak meulangue keu kebugaran?,,
5635,Kalian suka berjemur pagi hari?,awakkah galak meuade beungoh uroe?,,
5636,Kalian suka berkumpul saat liburan keluarga?,awakkah galak meusapat wate liburan keluarga?,,
5637,Kalian suka berkumpul setiap minggu?,awakkah galak meusapat tiep minggu?,,
5638,Kalian suka bermain bulu tangkis?,awakkah galak meuen bulee tangkis?,,
5639,Kalian suka bermain skateboard?,awakkah galak meuen skateboard?,,
5640,Kalian suka beternak ayam petelur?,awakkah galak meupeulara manok petelur?,,
5641,Kalian suka ikut kelas zumba?,awakkah galak ikot glah zumba?,,
5642,Kalian suka ikut lari maraton?,awakkah galak ikot plueng maraton?,,
5643,Kalian suka ikut zumba bareng?,awakkah galak ikot zumba sajan?,,
5644,Kalian suka jalan kaki pagi untuk jantung?,awakkah galak jak aki beungoh keu jantong?,,
5645,Kalian suka jalan kaki setelah makan malam?,awakkah galak jak aki lheueh pajoh malam?,,
5646,Kalian suka jalan-jalan berdua?,awakkah galak jak-jak meudua?,,
5647,Kalian suka kerja sama mandor yang baik?,awakkah galak keureuja sama mandor nyang got?,,
5648,Kalian suka kerja tim yang kompak?,awakkah galak keureuja tim nyang kompak?,,
5649,Kalian suka kerja tim yang solid?,awakkah galak keureuja tim nyang solid?,,
5650,Kalian suka konsumsi suplemen?,awakkah galak konsumsi suplemen?,,
5651,Kalian suka latihan kardio bareng?,awakkah galak latihan kardio sajan?,,
5652,Kalian suka latihan pernapasan?,awakkah galak latihan pernapasan?,,
5653,Kalian suka latihan relaksasi pernapasan?,awakkah galak latihan relaksasi pernapasan?,,
5654,Kalian suka latihan yoga pernapasan?,awakkah galak latihan yoga pernapasan?,,
5655,Kalian suka lupa minum obat?,awakkah galak tuwo jep ubat?,,
5656,Kalian suka main gitar bareng?,awakkah galak meuen gitar sajan?,,
5657,Kalian suka makan bareng pas istirahat?,awakkah galak pajoh sajan pah piyohhek?,,
5658,Kalian suka makan makanan rendah kolesterol?,awakkah galak pajoh makanan rendah kolesterol?,,
5659,Kalian suka makan serat untuk usus?,awakkah galak pajoh serat keu usus?,,
5660,Kalian suka meditasi bersama?,awakkah galak meditasi sajan?,,
5661,Kalian suka membantu bongkar ikan di dermaga?,awakkah galak bantu lhoh eungkot bak dermaga?,,
5662,Kalian suka membuat smoothie sehat?,awakkah galak peugot smoothie sehat?,,
5663,Kalian suka memelihara burung puyuh?,awakkah galak peulara cicem puyoh?,,
5664,Kalian suka memetik cabai bareng?,awakkah galak pot campli sajan?,,
5665,Kalian suka mencoba hal baru bersama?,awakkah galak cuba hal baro sajan?,,
5666,Kalian suka mencoba kafe baru?,awakkah galak cuba kafe baro?,,
5667,Kalian suka menghabiskan waktu di kafe?,awakkah galak peuabeh watee bak kafe?,,
5668,Kalian suka mengobrol sampai larut malam?,awakkah galak peugah_haba sampe jula malam?,,
5669,Kalian suka menjaga kesehatan pencernaan?,awakkah galak jaga kesehatan pencernaan?,,
5670,Kalian suka menjaga pola makan sehat?,awakkah galak jaga pola pajoh sehat?,,
5671,Kalian suka menonton film drama?,awakkah galak nonton film drama?,,
5672,Kalian suka menonton sunset bersama?,awakkah galak nonton sunset sajan?,,
5673,Kalian suka menulis catatan cinta?,awakkah galak tuleh catatan cinta?,,
5674,Kalian suka menyiapkan makan malam berdua?,awakkah galak peusiap pajoh malam meudua?,,
5675,Kalian suka merawat kebun bersama?,awakkah galak rawat lampoh sajan?,,
5676,Kalian suka merencanakan masa depan?,awakkah galak peureuncana masa keue?,1,
5677,Kalian suka minum air lemon pagi?,awakkah galak jep ie lemon beungoh?,,
5678,Kalian suka minum air putih cukup sehari-hari?,awakkah galak jep ie puteh sep siuroe-uroe?,,
5679,Kalian suka minum jamu kunyit asem?,awakkah galak jep jamu kunyet masam?,,
5680,Kalian suka minum jus hijau tiap hari?,awakkah galak jep jus ijo tiep uroe?,,
5681,Kalian suka minum kopi pas istirahat?,awakkah galak jep kupi pah piyohhek?,,
5682,Kalian suka minum vitamin C?,awakkah galak jep vitamin C?,,
5683,Kalian suka minum vitamin rutin?,awakkah galak jep vitamin rutin?,,
5684,Kalian suka naik gunung?,awakkah galak ek gunong?,,
5685,Kalian suka naik sepeda keliling kompleks?,awakkah galak ek sitangen keulileng komplek?,,
5686,Kalian suka ngobrol sambil istirahat kerja?,awakkah galak peugah_haba sira piyohhek keureuja?,,
5687,Kalian suka ngobrol sambil kerja?,awakkah galak peugah_haba sira keureuja?,,
5688,Kalian suka ngobrol santai waktu istirahat?,awakkah galak peugah_haba santai watee piyohhek?,,
5689,Kalian suka ngopi pas jam istirahat?,awakkah galak ngopi pah jeuem piyohhek?,,
5690,Kalian suka nonton film romantis?,awakkah galak nonton film romantis?,,
5691,Kalian suka olahraga di gym?,awakkah galak olahraga bak gym?,,
5692,Kalian suka olahraga malam hari?,awakkah galak olahraga malam uroe?,,
5693,Kalian suka olahraga ringan di rumah?,awakkah galak olahraga phui bak rumoh?,,
5694,Kalian suka olahraga ringan sebelum tidur?,awakkah galak olahraga phui sigohlom eh?,,
5695,Kalian suka olahraga ringan untuk jantung?,awakkah galak olahraga phui keu jantong?,,
5696,Kalian suka pakai masker di luar rumah?,awakkah galak sok masker di luwa rumoh?,,
5697,Kalian suka periksa kesehatan rutin?,awakkah galak pareksa kesehatan rutin?,,
5698,Kalian suka saling tukar cerita?,awakkah galak saleng tuka calitra?,,
5699,Kalian suka senam aerobik bersama?,awakkah galak senam aerobik sajan?,,
5700,Kalian suka tanam kacang tanah?,awakkah galak pula kacang tanoh?,,
5701,Kalian suka tanam sawi putih?,awakkah galak pula sawi puteh?,,
5702,Kalian suka tanam tomat di pekarangan?,awakkah galak pula tomat bak pekarangan?,,
5703,Kalian suka terapi napas dalam?,awakkah galak terapi naphah dalam?,,
5704,Kalian suka terapi pijat ringan?,awakkah galak terapi urot phui?,,
5705,Kalian suka terapi relaksasi malam?,awakkah galak terapi relaksasi malam?,,
5706,Kalian suka terapi relaksasi sore?,awakkah galak terapi relaksasi seupot?,,
5707,Kalian suka yoga di taman?,awakkah galak yoga bak taman?,,
5708,Kalian tampak antusias belajar pagi ini.,awakkah deuh antusias kasambot acara,,
5709,Kalian tampak antusias menyambut acara baru.,awakkah deuh antusias kasambot acara,,
5710,Kalian tampak antusias menyambut acara ini.,awakkah deuh antusias kasambot acara,,
5711,Kalian tampak bahagia mendapatkan penghargaan.,awakkah deuh bahgiya meuteumeung penghargaan.,,
5712,Kalian tampak ceria bermain di halaman sekolah.,awakkah deuh ceria meuen bak leun sikula.,,
5713,Kalian tampak ceria saat latihan tari.,awakkah deuh ceria wate latihan tari.,,
5714,Kalian tampak gembira saat latihan olahraga.,awakkah deuh gembira wate latihan olahraga.,,
5715,Kalian tampak kompak saat bekerja kelompok.,awakkah deuh kompak wate meukeureuja kelompok.,,
5716,Kalian tampak kompak saat latihan kelompok.,awakkah deuh kompak wate latihan kelompok.,,
